"DisplayName","AverageScore"
Jacob Kofoed,0
ex12,0
Brian Ballsun-Stanton,1
Mark Theunissen,37
Dream Lane,7
sysvghost,1
rocka,2
Dunwitch,1
Kehan,2
miroslavec,17
mildm8nnered,3
klyde,1
fizzbuzz,20
Juergen Gutsch,2
Vasil Badev,0
oleks,5
Kinokko,1
HitScan,23
psj,3
mattlant,6
Alex Morega,2
Lance,3
Vadi,1
user461128,60
login,1
Pavel Ajtkulov,3
dbwebtek,1
insumity,1
Milos Radivojevic,0
Paul Hutchinson,4
uuu,0
endzeit,5
Edwin de Koning,7
DrCronus,1
IWriteApps,1
lia ant,0
user352258,2
Binaromong,0
Alejandro Robles,1
teknolog,1
risc80x86,1
tichy,1
Withnail,2
Dreamcat4,1
user336327,1
Carlos Cardona,0
liadan,1
Yori,0
user220409,4
euroblaze,1
HurnsMobile,3
ahmedsafan86,1
Harry Fox,1
jpbaudoin,0
user141146,4
Lady Aleena,0
dameiss,4
ilyashev,1
durandal,5
mathieu,9
Manuel Ceron,12
okoman,6
Wylder,1
pave,2
lundman,13
david4dev,6
nobo,6
user533812,4
hassaanm,27
Riemannliness,23
Jeff Chen,0
dreambig,11
Edward Hervey,5
Veivi,1
Manimaran,0
x-code,3
C_Bevan,0
pdmaguire,1
user323094,45
pcuenca,2
L3o0o,4
pm_2,3
Krunal,2
James Moyle,0
zie,3
user249399,0
Cros,7
JPLemme,7
Stuart Grimshaw,1
Martin Thurau,8
dreftymac,13
FireClaw,0
AFT,2
PriteshJ,-2
hyo1411,0
Dan Ross,3
sFunn.com,0
jbcurtin,3
timw4mail,5
kares,4
jwhitlark,2
Abi Axis,1
maciekp,2
user327359,4
sanjoy saha,0
Andrew F,10
Lewion,0
Prem Kumar,0
onder,1
D3no,0
Eric Silva,0
Bad Programmer,2
rohini,2
RJ86,22
Misko Hevery,4
Kirk True,2
Charles Himmer,-1
Fant,3
Justin C,2
Joj3z,3
cheshirekow,11
Alexey Zakharov,5
radious,1
Enthusiast,0
Vasile,0
Ytsejammer,10
Wolfr,13
Kathy Van Stone,7
Jieren,4
gramm,472
Isomorph,10
izomorphius,1
Bernd Petersohn,6
Osu,0
Justin Swartsel,3
rockit,8
Dinesh Babu K G,2
koeri,5
mholzmann,0
Svein Erik,2
Itamar,26
Joao Carlos,1
DeathByCode,1
BAReFOOt,-1
user200093,1
nxadm,4
Viki,2
bgiles,3
Andrew Keeton,27
Salandur,6
jlehr,5
Matt Howell,12
Jason Cohen,31
AaronS,2
Dave Babbitt,2
Macon Pegram,4
Ev.,5
user558152,-1
user451244,3
user450279,2
"877",1
Billy Lambert,0
supermus,27
dotcom,2
Justin Meltzer,2
